,Unnamed: 1,Unnamed: 2,Назва банку,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,в іноземній валюті,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,в іноземній валюті.1,Unnamed: 14,в іноземній валюті.2,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,в іноземній валюті.3
15.0,,15.0,УКРГАЗБАНК ,1874740.0,33112.0,0.0,3219705.0,1092623.0,-1137996.0,35.34,14016032.0,11295265.0,696440.0,2720767.0,2017039.0,-7728216.0,55.14,4048570.0,-504190.0,12.45,6047.0,-6047.0,100.0,0.0,10643.0,313.0,170531.0,733945.0,1310691.0,-167828.0,12.8,100000.0,-39062.0,39.06,0.0,0.0,0.0,15940991.0,4276533.0
16.0,,16.0,КРЕДИТПРОМБАНК,970270.0,26061.0,0.0,589970.0,236339.0,-17033.0,2.89,12086835.0,9384758.0,2964319.0,2702076.0,1410231.0,-2381601.0,19.7,1063155.0,-25729.0,2.42,0.0,0.0,0.0,0.0,0.0,7949.0,42305.0,168545.0,612320.0,-3493.0,0.57,66146.0,-690.0,1.04,36331.0,0.0,0.0,13241342.0,4436298.0
17.0,,17.0,БАНК ФОРУМ,1311879.0,542719.0,1965.0,163942.0,65747.0,-145698.0,88.87,14092663.0,10129169.0,4511268.0,3963494.0,3336954.0,-4490522.0,31.86,399019.0,-53141.0,13.32,102937.0,-97763.0,94.97,0.0,0.0,1539.0,18105.0,529514.0,33347.0,-514.0,1.54,52454.0,-9820.0,18.72,41.0,0.0,0.0,12452666.0,6121841.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Група II ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,,1.0,ДЕЛЬТА БАНК,1528570.0,0.0,0.0,450305.0,374447.0,-6285.0,1.4,14784428.0,8327789.0,3447295.0,6456639.0,1861936.0,-3436657.0,23.25,2326842.0,-13673.0,0.59,0.0,0.0,0.0,0.0,695981.0,789.0,0.0,279729.0,2154910.0,-1835.0,0.09,93865.0,-1381.0,1.47,0.0,0.0,0.0,18855588.0,5385826.0
19.0,,2.0,ДОЧІРНІЙ БАНК СБЕРБАНКУ РОСІЇ,999765.0,1400156.0,0.0,1320648.0,466630.0,-13830.0,1.05,12754466.0,11431499.0,6561554.0,1322968.0,1111499.0,-2660504.0,20.86,319731.0,-76491.0,23.92,0.0,0.0,0.0,40332.0,29983.0,98.0,67116.0,677303.0,241153.0,-5753.0,2.39,24168.0,0.0,0.0,0.0,0.0,0.0,15118342.0,6854094.0
20.0,,3.0,IHГ БАНК УКРАЇНА,1950060.0,1422254.0,8079.0,154722.0,4457.0,-9108.0,5.89,7362728.0,7264655.0,5686897.0,98073.0,71026.0,-183442.0,2.49,6672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2191.0,17948.0,10612.0,98676.0,-1584.0,1.6,2969.0,-30.0,1.02,0.0,0.0,0.0,10842747.0,7293229.0
